source,target,weight
0,1,0.34
1,0,0.34
1,2,0.26
2,1,0.26
2,3,0.25
3,2,0.25
4,5,1.93
5,4,1.93
5,6,1.37
6,5,1.37
6,7,0.71
7,6,0.71
7,8,4.66
8,7,4.66
8,9,0.46
9,8,0.46
10,11,7.05
11,10,7.05
12,13,1.16
13,14,1.16
14,15,1.17
15,16,1.36
16,17,0.87
18,19,1.11
19,20,1.30
20,21,1.29
21,22,1.26
22,23,1.67
24,25,0.56
26,27,1.21
28,29,1.30
29,30,2.59
30,31,3.43
31,32,1.70
33,34,3.08
34,33,3.08
34,35,1.75
35,34,1.75
35,36,1.74
36,35,1.74
37,38,0.59
38,39,0.60
39,40,0.69
40,41,0.74
41,42,1.24
42,43,0.98
43,44,0.72
44,45,1.26
45,46,1.39
47,48,1.08
48,49,1.58
49,50,1.14
50,51,2.56
51,52,0.93
52,53,0.93
54,55,0.64
55,54,0.64
55,56,0.96
56,55,0.96
56,57,1.02
57,56,1.02
57,58,0.66
58,57,0.66
58,59,1.04
59,58,1.04
59,60,0.89
60,59,0.89
60,61,0.87
61,60,0.87
61,62,1.32
62,61,1.32
62,63,0.95
63,62,0.95
64,65,5.08
65,64,5.08
65,66,4.67
66,65,4.67
66,67,1.59
67,66,1.59
67,68,0.97
68,67,0.97
68,69,7.46
69,68,7.46
69,70,7.19
70,69,7.19
70,71,1.84
71,70,1.84
71,72,6.70
72,71,6.70
72,73,6.15
73,72,6.15
74,75,5.01
75,74,5.01
75,76,4.63
76,75,4.63
76,77,2.19
77,76,2.19
77,78,10.53
78,77,10.53
78,64,1.48
64,78,1.48
79,80,0.22
80,79,0.22
80,81,0.22
81,80,0.22
81,82,0.20
82,81,0.20
82,83,0.20
83,82,0.20
83,84,0.25
84,83,0.25
84,85,0.25
85,84,0.25
85,86,0.23
86,85,0.23
86,87,0.23
87,86,0.23
87,88,0.28
88,87,0.28
88,89,0.28
89,88,0.28
90,91,1.08
91,90,1.08
92,93,0.39
93,92,0.39
93,94,8.40
94,93,8.40
95,96,0.44
96,95,0.44
96,97,6.12
97,96,6.12
98,99,1.28
100,101,5.43
102,103,1.60
103,104,2.91
104,105,1.72
105,106,1.71
106,107,1.67
107,108,2.11
108,109,2.74
109,110,5.52
110,111,2.08
111,112,2.14
112,113,2.74
114,115,5.44
115,116,5.60
116,117,2.19
117,118,5.08
119,120,0.50
120,121,0.26
121,122,0.58
122,123,1.03
124,125,10.35
125,124,10.35
125,126,2.73
126,125,2.73
126,127,3.05
127,126,3.05
128,129,0.45
129,128,0.45
129,130,0.87
130,129,0.87
130,131,0.42
