from,to,heap,graph,exitCode,tookMs
37009,153503,binary,array,0,35.078
37009,153503,binary,linked,0,36.7012
37009,153503,fibonacci,array,0,50.9385
37009,153503,fibonacci,linked,0,49.3849
23026,19950,binary,array,0,4.4126
23026,19950,binary,linked,0,4.5325
23026,19950,fibonacci,array,0,5.7816
23026,19950,fibonacci,linked,0,6.3009
132478,73515,binary,array,0,9.248
132478,73515,binary,linked,0,8.8761
132478,73515,fibonacci,array,0,12.2456
132478,73515,fibonacci,linked,0,12.5283
3749,92042,binary,array,0,35.1071
3749,92042,binary,linked,0,33.524
3749,92042,fibonacci,array,0,45.8053
3749,92042,fibonacci,linked,0,46.2237
10094,72010,binary,array,0,7.7139
10094,72010,binary,linked,0,7.7028
10094,72010,fibonacci,array,0,11.4418
10094,72010,fibonacci,linked,0,11.0823
17299,170445,binary,array,0,16.8941
17299,170445,binary,linked,0,17.8264
17299,170445,fibonacci,array,0,25.2454
17299,170445,fibonacci,linked,0,25.9158
120181,6590,binary,array,0,30.0039
120181,6590,binary,linked,0,30.7077
120181,6590,fibonacci,array,0,42.3547
120181,6590,fibonacci,linked,0,44.2289
53833,69746,binary,array,0,22.6815
53833,69746,binary,linked,0,20.7544
53833,69746,fibonacci,array,0,31.6781
53833,69746,fibonacci,linked,0,32.2696
71202,140478,binary,array,0,4.4639
71202,140478,binary,linked,0,4.6891
71202,140478,fibonacci,array,0,6.1193
71202,140478,fibonacci,linked,0,6.6208
37095,134758,binary,array,0,12.9563
37095,134758,binary,linked,0,12.4214
37095,134758,fibonacci,array,0,17.6752
37095,134758,fibonacci,linked,0,18.1415
